,propertyType,prices,zipcodes,home_type,tax_year,tax_value,year_built,property_size,home_size,bathrooms,bedrooms,zestimate_amount
527,House,700.0,78746,SingleFamily,2015.0,685472.0,1980.0,12096.0,2672.0,2.5,4.0,767777.0
528,House,500.0,78746,SingleFamily,2015.0,623687.0,1979.0,26297.0,2762.0,3.0,4.0,781403.0
529,House,70.0,78735,SingleFamily,2015.0,454674.0,1998.0,7187.0,2687.0,2.5,3.0,461401.0
530,House,289.0,78749,SingleFamily,2015.0,317134.0,2001.0,6838.0,1961.0,2.0,3.0,336341.0
531,House,559.0,78746,SingleFamily,2015.0,3016389.0,1992.0,22651.0,6876.0,6.5,6.0,4171642.0
532,House,49.0,78749,SingleFamily,2015.0,315542.0,2001.0,9622.0,1932.0,2.0,,340353.0
533,House,50.0,78735,SingleFamily,2015.0,322168.0,2011.0,11461.0,2558.0,3.0,,351710.0
535,House,350.0,78746,SingleFamily,2015.0,737531.0,1982.0,58501.0,2825.0,3.0,4.0,1011470.0
536,House,239.0,78733,SingleFamily,2015.0,298435.0,2001.0,13852.0,1950.0,2.0,3.0,380788.0
538,House,99.0,78746,Duplex,2015.0,467759.0,1982.0,25835.0,2732.0,4.0,,748470.0
539,House,250.0,78736,SingleFamily,2015.0,441513.0,2005.0,10206.0,3673.0,4.0,,474941.0
540,House,399.0,78746,SingleFamily,2015.0,973716.0,1997.0,15298.0,3150.0,3.0,,1104412.0
541,House,100.0,78746,SingleFamily,2015.0,1359746.0,2013.0,95266.0,3570.0,3.0,4.0,1390344.0
542,House,250.0,78746,SingleFamily,2015.0,600000.0,1972.0,10947.0,540.0,1.0,,1100565.0
543,House,1380.0,78736,SingleFamily,2015.0,230042.0,1970.0,17315.0,1533.0,2.0,,271924.0
544,House,225.0,78733,SingleFamily,2015.0,319605.0,1985.0,36416.0,1739.0,2.5,4.0,418915.0
545,House,1200.0,78746,SingleFamily,2015.0,1364633.0,1983.0,56628.0,4925.0,4.5,4.0,1716362.0
546,House,345.0,78733,SingleFamily,2015.0,350422.0,1983.0,18295.0,1777.0,2.0,3.0,437631.0
547,House,599.0,78746,SingleFamily,2015.0,1050830.0,1972.0,38725.0,2720.0,3.0,,1431694.0
548,House,375.0,78735,SingleFamily,2015.0,474476.0,1999.0,11326.0,3392.0,3.5,5.0,509615.0
549,House,100.0,78617,SingleFamily,2015.0,119713.0,2000.0,6743.0,1178.0,2.0,3.0,148231.0
550,House,63.0,78746,SingleFamily,2015.0,571265.0,1979.0,13181.0,2143.0,2.0,,679004.0
551,House,175.0,78746,SingleFamily,2015.0,951448.0,1995.0,37418.0,4095.0,4.0,,1460471.0
552,House,2158.0,78746,SingleFamily,2015.0,835000.0,1990.0,36860.0,3458.0,3.0,,1087478.0
554,House,200.0,78735,SingleFamily,2015.0,414000.0,1996.0,9425.0,2494.0,3.5,4.0,453502.0
556,House,1695.0,78704,SingleFamily,2015.0,386170.0,1967.0,7148.0,1593.0,2.0,,432742.0
557,House,350.0,78751,SingleFamily,2012.0,313281.0,1937.0,6098.0,2044.0,3.0,3.0,612665.0
559,House,900.0,78704,SingleFamily,2015.0,549574.0,1923.0,10541.0,1232.0,1.0,2.0,604634.0
560,House,350.0,78704,SingleFamily,2015.0,394595.0,1926.0,,850.0,1.0,2.0,463999.0
561,House,199.0,78704,SingleFamily,2015.0,530487.0,1949.0,8882.0,1284.0,1.0,,590862.0
562,House,250.0,78704,SingleFamily,2015.0,518876.0,1937.0,7270.0,1264.0,2.0,,560107.0
563,Townhouse,350.0,78704,Duplex,2015.0,363000.0,1999.0,10041.0,1086.0,2.0,,421632.0
564,House,980.0,78704,Duplex,2015.0,577348.0,1963.0,13817.0,1674.0,2.0,,650449.0
565,House,225.0,78704,SingleFamily,2015.0,321189.0,1956.0,5846.0,1265.0,1.0,,410660.0
566,House,450.0,78704,SingleFamily,2015.0,522571.0,1999.0,6321.0,2016.0,4.0,,722911.0
567,House,200.0,78722,SingleFamily,2015.0,437574.0,1951.0,10411.0,1952.0,1.0,,514005.0
569,House,1900.0,78704,SingleFamily,2015.0,2103676.0,1890.0,43399.0,4263.0,3.0,,1771110.0
570,House,700.0,78722,SingleFamily,2015.0,336971.0,1952.0,8568.0,1205.0,1.0,,385470.0
571,House,54.0,78704,SingleFamily,2015.0,839041.0,1948.0,12558.0,2229.0,2.0,,809246.0
