,prices,dateAdded,lat,long,propertyType,numBathroom,numBedroom,numBed,numPeople,house_num,street_name,zipcodes
1910,6500.0,2016-04-18,30.2563293185,-97.7464553062,Apartment,1.0,1.0,2.0,4.0,147,East Riverside Drive,78704
1911,249.0,2016-03-27,30.2658101648,-97.7394798902,Apartment,1.0,2.0,3.0,6.0,401,East 5th Street,78701
1912,110.0,2015-10-13,30.2771163121,-97.744608883,Apartment,1.0,1.0,1.0,2.0,1310,San Antonio Street,78701
1915,200.0,2016-03-27,30.2508027968,-97.7486871999,House,1.0,1.0,1.0,2.0,100,The Circle,78704
1916,1400.0,2015-10-25,30.2398303083,-97.7516187581,Apartment,1.0,1.0,1.0,3.0,2215,Post Road,78704
1917,850.0,2015-10-25,30.2697682881,-97.735124442,Apartment,1.0,1.0,1.0,2.0,611,East 10th Street,78701
1918,200.0,2016-08-15,30.2532973527,-97.7470518371,Apartment,2.0,2.0,2.0,6.0,1005,South Congress Avenue,78704
1919,349.0,2015-10-25,30.2663367676,-97.7413981965,Apartment,2.0,3.0,4.0,8.0,107,East 5th Street,78701
1920,80.0,2016-03-25,30.2543459808,-97.7475187211,Apartment,1.0,1.0,1.0,2.0,839,South Congress Avenue,78704
1921,775.0,2015-10-25,30.2784842905,-97.7433284712,Apartment,1.0,0.0,1.0,4.0,400,West 15th Street,78701
1922,4000.0,2015-10-25,30.2444005992,-97.7512050713,Apartment,1.0,0.0,1.0,2.0,1953,South Congress Avenue,78704
1923,1380.0,2016-03-27,30.2673091274,-97.7421320214,Apartment,1.0,2.0,5.0,6.0,120,East 5th Street,78701
1926,150.0,2015-10-25,30.2598606057,-97.7702031338,House,1.5,1.0,1.0,2.0,2007,Dexter Street,78704
1927,300.0,2016-08-15,30.2590694056,-97.7739410084,House,2.0,4.0,8.0,8.0,2301,Trailside Drive,78704
1928,100.0,2015-10-25,30.2571815633,-97.791575771,Apartment,1.0,1.0,1.0,2.0,1741,Spyglass Drive,78746
1930,550.0,2016-04-18,30.2489255591,-97.7839215101,House,3.0,4.0,4.0,7.0,2700,Oak Haven Drive,78704
1932,115.0,2015-10-25,30.2601474833,-97.7871974778,Apartment,1.0,1.0,1.0,2.0,2936,Barton Skyway,78746
1933,70.0,2016-05-23,30.254473588,-97.7995676612,Apartment,1.0,1.0,1.0,2.0,2604,Va Fortuna,78746
1934,95.0,2015-10-25,30.2484297606,-97.7844875017,House,1.0,1.0,1.0,2.0,2704,Oak Haven Drive,78704
1935,350.0,2015-10-28,30.2616007187,-97.7820056045,Apartment,1.0,1.0,2.0,2.0,1704,Bartoncliff Drive,78704
1936,120.0,2015-11-01,30.2388932595,-97.7903286074,Apartment,1.0,1.0,1.0,3.0,3816,South Lamar Boulevard,78704
1937,980.0,2015-10-25,30.2600146675,-97.773490056,Apartment,1.0,1.0,2.0,4.0,1203,Hollow Creek Drive,78704
1938,1500.0,2016-03-25,30.2568406587,-97.7795369885,House,2.0,2.0,2.0,3.0,1804,Westridge Drive,78704
1939,75.0,2016-08-15,30.2564048741,-97.7785059097,Apartment,1.0,0.0,1.0,2.0,2403,Ridgeview Drive,78704
1941,290.0,2016-03-27,30.3095129664,-97.721197192,House,2.0,2.0,3.0,10.0,603,East 48th Street,78751
1942,964.0,2016-04-18,30.2418642732,-97.7785789244,House,1.0,2.0,2.0,4.0,2900,Del Curto Road,78704
1943,199.0,2016-03-27,30.3102967804,-97.7224059098,House,2.5,2.0,2.0,4.0,4707,Duval Street,78751
1945,250.0,2015-11-01,30.2356490128,-97.7857096293,Apartment,1.0,1.0,1.0,2.0,3803B,Byron Drive,78704
1946,65.0,2016-08-15,30.2346303054,-97.7905317759,Apartment,1.0,1.0,2.0,3.0,4016,Victory Drive,78704
1947,30.0,2016-03-27,30.3052043526,-97.7164924468,Apartment,1.0,1.0,1.0,1.0,922,East 46th Street,78751
1948,189.0,2016-03-27,30.2399877713,-97.7404101326,House,1.0,2.0,2.0,4.0,1904,Fairlawn Lane,78704
1949,400.0,2015-10-25,30.2452756757,-97.7436154035,House,2.5,3.0,3.0,5.0,1601,Alameda Drive,78704
1950,79.0,2016-08-15,30.2548658275,-97.7465452918,Apartment,1.0,1.0,1.0,2.0,907,South Congress Avenue,78704
1951,38.0,2015-10-25,30.2547928151,-97.7477872046,Apartment,2.0,1.0,1.0,3.0,724,South Congress Avenue,78704
1952,150.0,2016-04-25,30.2477233411,-97.7459343716,Apartment,1.0,1.0,1.0,5.0,1505,Newning Avenue,78704
1953,3080.0,2016-01-25,30.2389524778,-97.745182917,House,1.0,2.0,3.0,6.0,2100,Travis Heights Boulevard,78704
1954,600.0,2016-01-25,30.2437026635,-97.7437845229,House,3.0,4.0,4.0,10.0,1704,Alta Vista Avenue,78704
1955,180.0,2015-10-25,30.2416300673,-97.7378912928,Apartment,1.0,1.0,1.0,3.0,1312,Woodland Avenue,78704
1956,850.0,2015-10-28,30.2370730931,-97.7439357808,Apartment,1.0,2.0,1.0,5.0,1104,East Live Oak Street,78704
1957,200.0,2016-03-27,30.2421337615,-97.750675719,House,1.0,1.0,1.0,3.0,2107,Nickerson Street,78704
1958,125.0,2016-02-12,30.2517536847,-97.7436092446,Apartment,1.0,1.0,1.0,3.0,501,Academy Drive,78704
1959,400.0,2015-10-28,30.2448415954,-97.7491816039,House,2.0,3.0,2.0,6.0,1808,Brackenridge Street,78704
1960,200.0,2016-08-15,30.2509621765,-97.7453233762,Apartment,1.0,1.0,3.0,5.0,1205,Hillside Avenue,78704
1961,38.0,2015-10-25,30.2360849233,-97.7311875837,House,1.0,1.0,1.0,2.0,1905,Crooked Lane,78741
1963,350.0,2016-04-18,30.237371742,-97.7491793141,House,1.0,2.0,3.0,6.0,601,Sandringham Circle,78704
1964,550.0,2015-10-25,30.2331365477,-97.7662539208,House,2.5,2.0,2.0,6.0,3304,South 1st Street,78704
1965,189.0,2016-05-04,30.2855673791,-97.7065477465,House,1.0,2.0,3.0,6.0,2940,Moss Street,78722
1967,89.0,2015-10-25,30.2529480503,-97.7470960693,Apartment,1.0,1.0,1.0,2.0,200,Academy Drive,78704
1968,100.0,2016-03-27,30.2406358816,-97.7320034551,House,1.0,1.0,2.0,2.0,1518,Parker Lane,78741
1969,1000.0,2016-04-18,30.2580790569,-97.7561538339,House,5.0,5.0,5.0,10.0,701,Dawson Road,78704
1970,10000.0,2015-10-28,30.243832718,-97.746514712,Apartment,1.0,1.0,1.0,2.0,513,East Mary Street,78704
1971,500.0,2015-11-01,30.239962496,-97.7503075417,House,1.0,1.0,1.0,2.0,313,Lone Oak Drive,78704
1973,1200.0,2015-10-31,30.2407030962,-97.7502647912,Apartment,2.0,2.0,2.0,4.0,307,East Live Oak Street,78704
1974,445.0,2015-10-25,30.2389871761,-97.7674623147,House,1.0,1.0,1.0,2.0,2733,Dulce Lane,78704
1977,100.0,2016-08-15,30.2353598608,-97.7650936097,House,1.0,1.0,1.0,3.0,608,Peacock Lane,78704
1978,2100.0,2015-10-25,30.25604159,-97.7515655096,Apartment,2.0,4.0,4.0,4.0,800,South 1st Street,78704
1979,599.0,2015-11-01,30.2460747327,-97.7324670862,House,3.5,4.0,4.0,8.0,1100,Summit Street,78741
1980,600.0,2015-10-25,30.2448431191,-97.7535337133,Apartment,2.0,3.0,3.0,6.0,204,West Johanna Street,78704
1981,600.0,2015-11-01,30.25297754,-97.7541370454,House,2.5,2.0,2.0,4.0,1108,South 1st Street,78704
1982,120.0,2015-10-28,30.2506945683,-97.7574967716,House,1.0,1.0,1.0,2.0,1509,South 3rd Street,78704
1983,295.0,2015-11-01,30.2336271323,-97.7887271128,Apartment,2.0,2.0,3.0,6.0,4017,Victory Drive,78704
1984,4000.0,2015-10-25,30.2426617458,-97.740023686,House,1.0,2.0,4.0,5.0,1110,Woodland Avenue,78704
1985,125.0,2016-02-12,30.2956084147,-97.7157143896,Apartment,1.0,2.0,3.0,6.0,1304,Kirkwood Road,78722
1986,150.0,2016-03-27,30.2598873225,-97.7465228067,Apartment,1.0,0.0,1.0,2.0,112,Barton Springs Road,78704
1987,110.0,2015-11-01,30.2448081764,-97.7525343843,House,1.0,1.0,1.0,2.0,1909,Eva Street,78704
1988,495.0,2015-10-28,30.2394094219,-97.7650838723,House,3.5,6.0,9.0,14.0,806,Cumberland Road,78704
1990,1450.0,2016-01-12,30.2576658019,-97.7544515071,Apartment,1.0,1.0,1.0,4.0,805,Post Oak Street,78704
1991,475.0,2016-03-27,30.2422626895,-97.767077904,House,2.0,3.0,2.0,5.0,1111,Fieldcrest Drive,78704
1992,110.0,2015-10-25,30.2855595723,-97.7142608064,Apartment,1.0,1.0,1.0,3.0,3107,Walnut Avenue,78722
1993,345.0,2016-04-18,30.2514252098,-97.7501583077,House,1.0,2.0,3.0,4.0,201,West James Street,78704
1994,147.0,2016-05-25,30.2421955088,-97.7513068466,Apartment,1.0,1.0,1.0,3.0,2106,Nickerson Street,78704
1995,200.0,2016-03-27,30.2352432516,-97.7288296927,Apartment,1.0,1.0,1.0,5.0,1825,Burton Drive,78741
